gbifID,datetime,decimalLatitude,decimalLongitude
894988018,1970-07-11,49.133333,-114.15
894988016,1968-08-04,44.5531588,-78.7617083
894987984,1970-07-11,49.133333,-114.15
894987983,1959-07-10,43.4974007,-110.955336
894987960,1970-07-11,49.133333,-114.15
894987959,1970-06-23,49.033333,-113.916667
894987934,1970-07-11,49.133333,-114.15
894987931,1970-07-29,49.066667,-114.05
883428180,1971-09-14,52.683333,-118.05
883420953,1983-07-24,50.0018,-114.7496
883418377,1984-06-25,54.5546,-119.6008
883412012,2006-07-12,54.114281,-119.934994
883384121,1988-07-05,55.05,-117.0
883375746,1984-07-24,53.935625,-117.733308
883375701,1984-06-22,54.0625,-116.548611
883373303,1988-07-05,55.05,-117.0
883371875,1976-08-15,53.383333,-117.566667
623695927,2011-07-14,46.91046,-121.15371
5177147591,2025-05-16,49.681057,-119.584053
5177084589,2025-05-16,49.681057,-119.584053
5176744928,2025-05-30,45.587803,-121.788404
5176649066,2025-05-23,49.218087,-121.067549
5176635814,2025-06-01,49.114089,-121.806525
5174673580,1976-07-16,48.7352977,-121.8649865
5174500577,1958-07-07,51.333333,-117.083333
5168047830,2024-09-13,47.505149,-123.287689
5167990144,2025-05-24,48.687052,-120.545707
5167949298,2025-05-21,47.373919,-88.319589
5167880801,2024-09-04,47.925528,-123.823543
5167689413,2021-10-16,47.28793,-121.361109
5167397721,2024-08-23,45.949647,-117.992963
5167319527,2024-09-04,47.926417,-123.821434
5167304221,2024-08-24,47.914976,-117.130359
5167068583,2019-08-17,52.91157,-116.448145
5167023663,2024-08-31,50.069831,-123.208448
5166832486,2023-07-25,47.270416,-121.163582
5166792294,2025-05-13,44.955775,-116.103055
5159141061,1995-05-28,45.6416995,-118.7671122
5154560685,2008-08-27,44.49719,-121.80263
5153518082,2025-05-04,45.814587,-121.946022
5153014396,2021-10-03,45.337455,-121.670195
5141070538,2011-08-05,44.495225,-116.085744
5140895694,2025-04-27,48.484888,-116.572561
5140237943,2008-07-21,44.43371,-122.05117
5139947659,2022-08-30,44.185553,-121.83553
5133898134,2024-07-29,44.348358,-121.997271
5133812627,2025-03-30,48.247745,-116.501358
5133726676,2023-08-21,46.701168,-112.344933
5133458461,2024-07-06,44.18095,-121.820725
5133184824,2020-07-24,45.04305,-116.581263
5133104331,2016-08-03,44.710617,-121.859214
5108343127,2021-08-04,50.623764,-115.189008
5108061088,2024-07-06,46.230221,-117.541739
5108033487,2021-05-30,46.181267,-117.590705
5108018170,2024-07-06,46.228706,-117.544019
5104350336,2025-03-01,49.253547,-123.245537
5103609834,1979-08-09,44.416667,-121.833333
5103602387,1991-07-26,43.9139214,-110.6380363
5103598314,1975-08-16,45.7680684,-115.5160723
5103581336,1995-07-25,39.818851,-121.194582
5089841149,1925-07-25,47.1552987,-113.4484281
5087050843,2024-08-18,42.898628,-122.1347
5086988316,2023-08-05,44.340827,-116.179012
5086948095,2023-06-16,46.476605,-86.435675
5076898412,2024-08-12,49.430981,-117.254814
5076887582,2024-07-19,45.186626,-121.758192
5076884508,2024-07-06,44.394528,-122.1483
5076855452,2024-08-13,49.062375,-117.038611
5076850350,2024-08-23,51.159927,-115.76017
5076846504,2024-07-06,44.207261,-122.261264
5076837553,2024-07-03,44.681942,-121.926055
5076823575,2024-07-06,43.033925,-122.36692
5076817599,2024-07-06,43.680763,-122.05233
5076803764,2024-08-04,44.422662,-122.101989
5069978517,2014-07-27,44.363509,-122.076492
5069792097,2024-10-10,42.075827,-123.349822
5069787920,2023-07-11,46.648395,-86.048718
5069751518,2024-08-11,44.491063,-121.912815
5069750906,2023-07-22,47.467216,-87.898334
5069750735,2022-06-18,46.6655,-86.16779
5069747965,2023-08-03,47.446897,-87.781671
5069742311,2017-08-05,41.972745,-123.322913
5069741918,2023-07-22,47.462311,-87.879398
5069734949,2023-07-22,47.460458,-87.877697
5069726991,2023-07-23,47.474579,-87.898842
5069697967,2023-08-02,47.466587,-87.907425
5069691958,2023-08-01,47.466572,-88.011497
5069588519,1959-07-18,46.8171611,-116.693441
5064078427,2024-08-23,51.157379,-115.762713
5063975588,2024-07-15,49.638929,-117.151504
5063957306,2014-07-19,44.177777,-121.8266
5063905775,2024-08-20,51.490644,-116.483974
5063814406,2024-06-21,52.531158,-117.646897
5063674455,2014-07-25,46.81951,-113.810688
5063659468,2023-07-23,48.825011,-113.715722
5063435025,2011-07-07,49.991032,-119.817785
5063357984,2024-06-26,49.058891,-117.040741
5063284729,2022-07-05,50.721005,-121.463899
5063211022,2024-06-24,49.484631,-115.094131
5063183304,2024-06-26,51.010306,-114.884372
5063032760,2024-06-18,51.511559,-117.20549
5063021853,2024-06-23,48.79993,-113.69842
5062908380,2024-10-07,48.515022,-120.735992
5062865332,2024-08-10,47.764389,-114.801503
5062861375,2024-08-03,45.320685,-121.691829
5062857462,2024-08-12,48.787687,-113.737305
5062857422,2024-08-10,43.613373,-122.085884
5062857418,2024-08-08,50.504437,-118.295525
5062856685,2024-08-20,46.702759,-115.253326
5062853305,2024-08-12,47.946444,-123.424186
5062852366,2024-08-10,50.10455,-122.910253
5062847501,2024-06-30,50.674356,-115.932221
5062845448,2024-08-03,45.27179,-117.671486
5062845436,2024-08-07,47.912813,-123.791
5062845419,2024-08-04,44.417645,-122.098319
5062842549,2024-08-16,46.737187,-121.56668
5062841613,2024-08-31,41.888588,-111.633287
5062840321,2024-08-05,54.773106,-127.233353
5062837323,2024-08-09,48.853717,-121.683678
5062837316,2024-08-10,48.967953,-121.798949
5062830428,2024-06-30,50.674103,-115.932926
5062829460,2024-08-12,48.735178,-116.485772
5062826388,2024-08-12,47.714935,-116.632462
5062818370,2024-08-11,47.373497,-121.446663
5062818317,2024-08-04,44.413022,-122.095833
5062815379,2024-08-09,48.856767,-121.722569
5062809340,2024-08-09,49.348725,-122.826217
5062805375,2024-08-11,44.49102,-121.912935
5062805371,2024-08-11,41.967872,-123.254386
5062801390,2024-08-08,44.509075,-121.977647
5062801354,2024-07-26,49.702172,-125.31388
5062800315,2024-08-04,45.111677,-121.866344
5062797248,2024-08-04,50.112467,-119.074355
5062797104,2024-07-27,54.765158,-122.51413
5062796101,2024-07-20,49.586783,-125.617425
5062795767,2024-06-29,52.142567,-120.195153
5062795106,2024-07-27,50.650675,-122.089433
5062794240,2024-07-15,47.441989,-120.937058
5062792894,2024-07-14,47.423565,-121.176787
5062792264,2024-08-09,50.368458,-119.050939
5062791642,2024-06-22,52.522425,-117.645342
5062791260,2023-08-10,48.520295,-114.33792
5062791000,2024-07-20,49.579388,-125.615167
5062790888,2024-07-13,52.136672,-120.191667
5062790653,2024-06-27,45.169907,-117.60211
5062788793,2024-06-30,47.83168,-121.031661
5062788213,2024-08-04,50.652345,-122.143689
5062787931,2024-07-03,48.70755,-120.91615
5062785828,2024-06-30,46.794004,-109.501589
5062785164,2024-07-21,41.536344,-123.128809
5062784942,2024-07-13,52.126592,-120.192292
5062783925,2024-07-13,52.136489,-120.191825
5062782969,2024-07-27,44.951336,-116.077209
5062781369,2024-05-26,49.183056,-117.60774
5062780359,2024-05-18,49.218133,-121.067336
5062779941,2024-06-24,51.450245,-116.524345
5062778983,2024-07-21,48.059503,-121.803192
5062778659,2024-06-29,50.968437,-118.125647
5062778191,2024-08-02,47.389317,-121.40193
5062777890,2024-07-13,52.136661,-120.191703
5062777199,2024-07-24,49.190778,-125.282194
5062777198,2024-07-26,47.918074,-117.142516
5062776929,2024-06-24,51.450333,-116.524338
5062775727,2024-06-29,47.358964,-121.190794
5062775237,2024-07-29,44.343872,-122.000107
5062774753,2024-06-29,52.137997,-120.191025
5062773008,2024-07-20,49.585275,-125.61795
5062772674,2024-06-26,48.765287,-113.784355
5062771729,2024-06-27,47.383053,-120.910889
5062770927,2024-07-13,52.131847,-120.19175
5062770926,2024-07-13,52.125636,-120.192725
5062770149,2024-07-30,51.051556,-118.139992
5062769217,2024-07-27,54.731464,-127.18985
5062769142,2024-07-27,52.137761,-120.190788
5062769050,2024-07-23,43.387322,-110.947716
5062768960,2024-07-13,52.138686,-120.191253
5062768252,2024-07-15,47.441161,-120.938186
5062767869,2024-06-28,50.961573,-118.126307
5062766122,2024-07-15,47.444417,-120.937514
5062765969,2024-07-13,52.13372,-120.192
5062765968,2024-07-13,52.125645,-120.192712
5062765341,2024-05-26,44.950896,-116.076339
5062763128,2024-07-26,49.38328,-123.182945
5062762960,2024-07-13,52.136486,-120.191803
5062761462,2024-06-07,43.803553,-110.745771
5062761272,2024-08-07,47.51261,-123.255462
5062761235,2024-08-03,49.695817,-125.260308
5062760907,2024-07-13,52.133822,-120.1921
5062758656,2024-06-29,51.412974,-116.21664
5062758183,2024-08-04,49.237485,-124.605885
5062758174,2024-08-02,51.320688,-117.522147
5062757883,2024-07-13,52.136528,-120.191825
5062757047,2024-07-20,49.586147,-125.61808
5062756747,2024-06-30,46.787954,-109.500027
5062756138,2024-07-29,49.015556,-114.040319
5062756109,2024-07-19,49.038635,-120.919423
5062755508,2024-06-12,52.524595,-117.645683
5062755164,2024-07-05,49.042917,-120.856133
5062754229,2024-07-15,48.524607,-113.989835
5062754227,2024-07-27,44.937618,-116.080243
5062754211,2024-07-24,49.190797,-125.282188
5062754071,2024-07-14,48.508795,-120.672447
5062753359,2024-05-25,49.670738,-123.130362
5062751174,2024-07-26,49.701275,-125.313233
5062751159,2024-08-04,43.89518,-110.558975
5062750971,2024-07-21,48.832973,-125.134091
5062750806,2024-07-09,48.822845,-121.942999
5062748981,2024-07-07,49.708938,-125.309022
5062747195,2024-08-04,45.237241,-122.056672
5062746061,2024-07-22,45.304669,-121.756742
5062744751,2024-06-29,48.633328,-116.579159
5062743960,2024-07-13,52.138686,-120.191253
5062743058,2024-07-21,48.938233,-121.861273
5062742963,2024-07-13,52.13185,-120.191733
5062741265,2024-08-04,49.701395,-125.325363
5062741068,2024-07-21,44.408941,-122.080048
5062740175,2024-07-27,46.932863,-121.475922
5062740172,2024-07-23,48.947113,-114.031788
5062740165,2024-07-19,49.064315,-120.894278
5062740161,2024-07-13,51.864215,-119.938488
5062739947,2024-07-13,52.13862,-120.19133
5062739328,2024-05-30,51.930634,-120.103089
5062739174,2024-07-20,48.890337,-113.874053
5062739143,2024-07-30,46.837013,-121.541779
5062739085,2024-07-18,44.921117,-115.954872
5062737272,2024-08-09,51.75808,-119.93975
5062736913,2024-07-13,52.135114,-120.191963
5062736269,2024-07-22,48.958142,-113.903938
5062736113,2024-07-20,49.58907,-125.617675
5062735907,2024-07-06,51.740924,-119.847394
5062735803,2024-06-29,49.199588,-118.087246
5062734051,2024-07-13,52.135853,-120.191895
5062733821,2024-06-18,48.77316,-113.706411
5062733159,2024-07-30,47.693286,-123.331561
5062733036,2024-07-22,44.340569,-122.002945
5062732931,2024-07-13,52.133745,-120.191995
5062732695,2024-06-24,42.80722,-122.484047
5062732181,2024-07-28,47.5429,-121.097739
5062732176,2024-07-30,51.043183,-118.147736
5062732120,2024-07-25,49.183288,-125.290947
5062732058,2024-07-05,49.216553,-121.067886
5062731043,2024-07-13,52.131847,-120.19175
5062730795,2024-06-28,46.667102,-121.892418
5062730171,2024-07-30,51.071511,-118.106239
5062730118,2024-07-27,43.666637,-110.837088
5062729967,2024-07-13,52.136742,-120.191558
5062729743,2024-06-29,52.137956,-120.190972
5062729209,2024-08-03,45.110895,-121.87017
5062728742,2024-06-29,49.10577,-121.444345
5062727813,2024-07-13,52.136892,-120.19137
5062721264,2024-05-26,49.18303,-117.607774
5062720624,2023-08-17,46.38485,-121.492126
5062720207,2024-05-25,49.219847,-124.601606
5062715624,2023-08-22,49.856963,-125.872547
5062713277,2023-07-14,44.281347,-122.14319
5062711268,2024-05-21,47.608583,-120.894544
